Optical_Path_Difference (cm),"Intencity, a.u."
-0.1176389,-0.000204
-0.1175,-0.000872
-0.1173611,-0.00234
-0.1172222,-0.00341
-0.1170833,-0.00376
-0.1169444,-0.0027
-0.1168056,-0.00142
-0.1166667,-0.000126
-0.1165278,0.000432725
-0.1163889,0.001174057
-0.11625,0.001960392
-0.1161111,0.003075297
-0.1159722,0.003381217
-0.1158333,0.002906466
-0.1156944,0.00116914
-0.1155556,-0.000622
-0.1154167,-0.00208
-0.1152778,-0.00237
-0.1151389,-0.00236
-0.115,-0.00214
-0.1148611,-0.00236
-0.1147222,-0.00203
-0.1145833,-0.00109
-0.1144444,0.00086158
-0.1143056,0.002415175
-0.1141667,0.003353352
-0.1140278,0.002981717
-0.1138889,0.002391631
-0.11375,0.001747305
-0.1136111,0.0016576
-0.1134722,0.001158709
-0.1133333,0.000226492
-0.1131944,-0.00155
-0.1130556,-0.00297
-0.1129167,-0.00372
-0.1127778,-0.00302
-0.1126389,-0.00195
-0.1125,-0.000843
-0.1123611,-0.000519
-0.1122222,2.39856E-05
-0.1120833,0.000776047
-0.1119444,0.002268101
-0.1118056,0.003170217
-0.1116667,0.003212238
-0.1115278,0.001801694
-0.1113889,0.000227536
-0.11125,-0.00113
-0.1111111,-0.0014
-0.1109722,-0.00151
-0.1108333,-0.0016
-0.1106944,-0.00233
-0.1105556,-0.00263
-0.1104167,-0.0023
-0.1102778,-0.000605
-0.1101389,0.001177634
-0.11,0.002534086
-0.1098611,0.00250041
-0.1097222,0.002075876
-0.1095833,0.001637334
-0.1094444,0.001964713
-0.1093056,0.001941616
-0.1091667,0.001313085
-0.1090278,-0.000513
-0.1088889,-0.00223
-0.10875,-0.00334
-0.1086111,-0.00285
-0.1084722,-0.00175
-0.1083333,-0.00045
-0.1081944,-0.000096
-0.1080556,0.000112499
-0.1079167,0.000365222
-0.1077778,0.001548374
-0.1076389,0.002534533
-0.1075,0.002769376
-0.1073611,0.001347954
-0.1072222,-0.000482
-0.1070833,-0.00202
-0.1069444,-0.00212
-0.1068056,-0.00169
-0.1066667,-0.00105
-0.1065278,-0.00122
-0.1063889,-0.00139
-0.10625,-0.00133
-0.1061111,-0.0000991
-0.1059722,0.001404131
-0.1058333,0.002660448
-0.1056944,0.00235721
-0.1055556,0.001306678
-0.1054167,6.92852E-05
-0.1052778,-0.00000164
-0.1051389,0.000291014
-0.105,0.00053435
-0.1048611,-0.000307
-0.1047222,-0.00133
-0.1045833,-0.00204
-0.1044444,-0.00139
-0.1043056,-0.000135
-0.1041667,0.001341099
-0.1040278,0.001648957
-0.1038889,0.001234109
-0.10375,0.000365073
-0.1036111,0.000375057
-0.1034722,0.00076964
-0.1033333,0.00121131
-0.1031944,0.000419612
-0.1030556,-0.000909
-0.1029167,-0.00222
-0.1027778,-0.00215
-0.1026389,-0.00131
-0.1025,-0.0000358
-0.1023611,0.000254805
-0.1022222,2.22994E-06
-0.1020833,-0.000756
-0.1019444,-0.000621
-0.1018056,0.000041569
-0.1016667,0.001194174
-0.1015278,0.001287902
-0.1013889,0.000638063
-0.10125,-0.00058
-0.1011111,-0.000844
-0.1009722,-0.000365
-0.1008333,0.00065952
